STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,RESOURCE,Resource,SEEA,Stocks and flows,CLASS,Class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2013,,0.504,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2014,,0.511,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2015,,0.462,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2016,,0.434,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2017,,0.443,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2018,,0.465,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2019,,0.476,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2020,,0.438,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,BBL_US,Barrels,CRUDE,Crude oil,TOTAL_RED,Total reductions in stock,A,Commercially recoverable resources,2021,,0.435,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2013,,0.013,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2017,,0.139,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2019,,0.107,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,LEAD,Lead,TOTAL_AD,Total additions to stock,A,Commercially recoverable resources,2021,,0.025,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2013,,2140,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2014,,2069.9,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2015,,1983.8,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2016,,1910,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2017,,2578,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2018,,2597,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2019,,2359,,0,Units
